Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP2,2045,1_1_0.5_1,311286646,249029317,19884347276640,19933633152049,49285875409,189363950,6245446598,749830177,1323567757,9239671638,2984529341,4297374360,24256091584,714450633,124908931,29225738,124514658,435801305,124514658,435801305,560315963,2418,1522,18766113097356,752957428697,379128756659,35433869333,0,18.87022018432617
SSP2,2045,1_1_1_1,311286646,249029317,19880403462354,19933633152049,53229689695,189363950,6245446598,749830177,1645837872,8527784036,4188011751,7402515379,24280899928,714450633,124908931,29225738,152675136,407640826,152675136,407640826,560315963,2418,1522,18766113097356,752957428697,379128756659,35433869333,0,18.658737182617188
SSP2,2045,1_1_1_10,311286646,249029317,19667528781963,19933633152049,266104370084,189363950,6245446598,749830177,1855826746,8271486604,4305285437,14043974148,230443156420,714450633,124908931,29225738,152675136,407640826,152675136,407640826,560315963,2418,1522,18766113097356,752957428697,379128756659,35433869333,0,20.28339195251465
SSP2,2045,1_10_1_1,311286646,249029317,19876400513481,19933633152049,57232638568,189363950,6245446598,749830177,0,14241708640,0,11364999947,24441289252,714450633,124908931,29225738,0,560315963,0,560315963,560315963,2418,1522,18766113097356,752957428697,379128756659,35433869333,0,3.93256950378418
SSP2,2045,10_1_1_1,311286646,249029317,19801381842718,19933633152049,132251309330,189363950,6245446598,7498301779,45573766880,28348108913,16720782203,3372888457,24302650547,714450633,124908931,29225738,330742043,229573920,330742043,229573920,560315963,2418,1522,18766113097356,752957428697,379128756659,35433869333,0,3.8907394409179688
SSP2,2050,1_1_0.5_1,397289407,317831526,30271842548018,30333145736420,61303188402,248420158,5693056980,929755809,1794457254,12408664514,3809099771,5441876205,30977857708,865218822,113861139,36236748,158915763,556205170,158915763,556205170,715120933,2402,1502,28857184347379,954493766251,477533463733,43934159056,0,21.189014434814453
SSP2,2050,1_1_1_1,397289407,317831526,30266899412583,30333145736420,66246323836,248420158,5693056980,929755809,2307768652,11321939714,5312050435,9433921704,30999410381,865218822,113861139,36236748,194118672,521002261,194118672,521002261,715120933,2402,1502,28857184347379,954493766251,477533463733,43934159056,0,21.563175201416016
SSP2,2050,1_1_1_10,397289407,317831526,29995060937469,30333145736420,338084798950,248420158,5693056980,929755809,2533543168,11162809695,5421161128,17985700265,294110351744,865218822,113861139,36236748,194118672,521002261,194118672,521002261,715120933,2402,1502,28857184347379,954493766251,477533463733,43934159056,0,19.95303726196289
SSP2,2050,1_10_1_1,397289407,317831526,30261642351028,30333145736420,71503385391,248420158,5693056980,929755809,0,19112644440,0,14310601569,31208906433,865218822,113861139,36236748,0,715120933,0,715120933,715120933,2402,1502,28857184347379,954493766251,477533463733,43934159056,0,21.073585510253903
SSP2,2050,10_1_1_1,397289407,317831526,30163461974334,30333145736420,169683762086,248420158,5693056980,9297558092,61006135877,36478415684,21800688419,4141472362,31018014510,865218822,113861139,36236748,428320994,286799938,428320994,286799938,715120933,2402,1502,28857184347379,954493766251,477533463733,43934159056,0,3.97087287902832
SSP3,2020,1_1_0.5_1,100314500,80251600,3108725307083,3128326246195,19600939112,47450304,6809321265,287193622,245701182,2019028814,961787381,1451467780,7778988761,327936076,136186425,11183551,40125799,140440300,40125800,140440300,180566100,2458,1571,2741994627341,246667361207,126105096008,13559161638,0,17.868894577026367
